order,korean,translation,chapter
1,오이,Cucumber,Lesson 1A: Introduction
2,우유,Milk,Lesson 1A: Introduction
3,모자,Hat,Lesson 1A: Introduction
4,바지,Pants,Lesson 1A: Introduction
5,치마,Skirt,Lesson 1A: Introduction
6,사과,Apple,Lesson 1A: Introduction
7,고기,"Meat, fish",Lesson 1A: Introduction
8,시계,Clock,Lesson 1A: Introduction
9,휴지,Toilet paper,Lesson 1A: Introduction
10,돼지,Pig,Lesson 1A: Introduction
11,포도,Grape,Lesson 1A: Introduction
12,의자,"Chair, stool",Lesson 1A: Introduction
13,피자,Pizza,Lesson 1A: Introduction
14,기차,Train,Lesson 1A: Introduction
15,토끼,Rabbit,Lesson 1A: Introduction
16,떡,"Tteok, rice cake",Lesson 1A: Introduction
17,딸기,Strawberry,Lesson 1A: Introduction
18,옷,Clothes,Lesson 1A: Introduction
19,꽃,Flower,Lesson 1A: Introduction
20,생선,Fish,Lesson 1A: Introduction
21,지갑,"Wallet, purse",Lesson 1A: Introduction
22,발,Foot,Lesson 1A: Introduction
23,잎,Leaf,Lesson 1A: Introduction
24,닭,Chicken,Lesson 1A: Introduction
25,태국,Thailand,Lesson 1A: Introduction
26,호주,Australia,Lesson 1A: Introduction
27,말레이시아,Malaysia,Lesson 1A: Introduction
28,몽골,Mongolia,Lesson 1A: Introduction
29,인도네시아,Indonesia,Lesson 1A: Introduction
30,필리핀,Philippines,Lesson 1A: Introduction
31,인도,India,Lesson 1A: Introduction
32,독일,Germany,Lesson 1A: Introduction
33,프랑스,France,Lesson 1A: Introduction
34,러시아,Russia,Lesson 1A: Introduction
1,학생,Student,Lesson 1B: Introduction
2,회사원,"Employee, company, staff",Lesson 1B: Introduction
3,은행원,Bank clerk,Lesson 1B: Introduction
4,선생님,Teacher,Lesson 1B: Introduction
5,의사,Doctor,Lesson 1B: Introduction
6,공무원,Civil servant,Lesson 1B: Introduction
7,관광 가이드,Tour guide,Lesson 1B: Introduction
8,주부,Housewife,Lesson 1B: Introduction
9,약사,Pharmacist,Lesson 1B: Introduction
10,운전기사,Driver,Lesson 1B: Introduction
11,처음 뵙겠습니다.,Nice to meet you.,Lesson 1B: Introduction
12,인사말,"Greeting, words of greeting",Lesson 1B: Introduction
13,기본,Basic,Lesson 1B: Introduction
14,국어국문학과,Department of Korean Language and Literature,Lesson 1B: Introduction
15,아니요,"No, nope",Lesson 1B: Introduction
16,주소,Address,Lesson 1B: Introduction
17,국적,Nationality,Lesson 1B: Introduction
18,은행,Bank,Lesson 1B: Introduction
19,직업,"Occupation, job",Lesson 1B: Introduction
20,네,Yes,Lesson 1B: Introduction
21,이,This,Lesson 1B: Introduction
22,학과,"Major, department",Lesson 1B: Introduction
23,대학교,"University, college",Lesson 1B: Introduction
24,이름,Name,Lesson 1B: Introduction
25,학번,Student ID number,Lesson 1B: Introduction
26,대학생,College student,Lesson 1B: Introduction
27,이메일,"E-mail, electronic mail",Lesson 1B: Introduction
28,학생증,Student identification,Lesson 1B: Introduction
29,보기,Example,Lesson 1B: Introduction
30,저,"I, me",Lesson 1B: Introduction
31,한국어,"Korean, Korean language",Lesson 1B: Introduction
32,사람,"Human, man, person",Lesson 1B: Introduction
33,전화,"Call, phone call, telephone",Lesson 1B: Introduction
34,한국어학과,Korean language major,Lesson 1B: Introduction
35,씨,"Mr., Ms., Mrs.",Lesson 1B: Introduction
36,제,My,Lesson 1B: Introduction
1,학교,School,Lesson 2: School
2,도서관,Library,Lesson 2: School
3,식당,"Cafeteria, restaurant",Lesson 2: School
4,호텔,Hotel,Lesson 2: School
5,극장,"Theater, cinema",Lesson 2: School
6,우체국,Post office,Lesson 2: School
7,병원,"Hospital, clinic",Lesson 2: School
8,백화점,Department store,Lesson 2: School
9,약국,Pharmacy,Lesson 2: School
10,가게,"Shop, store",Lesson 2: School
11,사무실,"Office, place of business, workplace",Lesson 2: School
12,강의실,"Classroom, lecture room",Lesson 2: School
13,교실,"Classroom, class",Lesson 2: School
14,화장실,"Toilet, restroom, bathroom",Lesson 2: School
15,휴게실,"Lounge, resting room",Lesson 2: School
16,랩실 (어학실),Laboratory,Lesson 2: School
17,동아리방,Club room,Lesson 2: School
18,체육관,Gymnasium,Lesson 2: School
19,운동장,Stadium,Lesson 2: School
20,강당,"Lecture hall, auditorium",Lesson 2: School
21,학생 식당,School cafeteria,Lesson 2: School
22,세미나실,Seminar room,Lesson 2: School
23,서점,Bookstore,Lesson 2: School
24,책상,Desk,Lesson 2: School
25,칠판,Blackboard,Lesson 2: School
26,문,Door,Lesson 2: School
27,창문,Window,Lesson 2: School
28,가방,Bag,Lesson 2: School
29,컴퓨터,Computer,Lesson 2: School
30,책,Book,Lesson 2: School
31,공책,Notebook,Lesson 2: School
32,사전,Dictionary,Lesson 2: School
33,지우개,Eraser,Lesson 2: School
34,지도,Map,Lesson 2: School
35,펜,Pen,Lesson 2: School
36,필통,Pencil case,Lesson 2: School
37,거기,There,Lesson 2: School
38,어디,Where,Lesson 2: School
39,저기,That place,Lesson 2: School
40,그것,"That, it",Lesson 2: School
41,없다,"Be not in, do not exist, there is no",Lesson 2: School
42,텔레비전,Television,Lesson 2: School
43,라디오,Radio,Lesson 2: School
44,여기,Here,Lesson 2: School
45,많이,"A lot, very (adverb)",Lesson 2: School
46,이것,This,Lesson 2: School
